id,created_at,email,name,country,gender,education,school,dob,age
1,2024-03-14 01:51:29,user1@example.com,User 1,South Africa,Female,Master,Opoku Ware School,1955-01-30,69
2,2024-01-12 01:51:29,user2@example.com,User 2,South Africa,Male,Master,Mfantsipim School,2002-01-13,22
3,2024-01-27 01:51:29,user3@example.com,User 3,Ghana,Female,Bachelor,Adisadel College,1984-04-20,40
4,2023-11-11 01:51:29,user4@example.com,User 4,Ghana,Female,High School,Prempeh College,1982-10-24,41
5,2024-01-09 01:51:29,user5@example.com,User 5,Kenya,Female,High School,Holy Child School,1982-04-16,42
6,2024-07-19 01:51:29,user6@example.com,User 6,Rwanda,Female,Bachelor,Adisadel College,1992-04-08,32
7,2023-12-15 01:51:29,user7@example.com,User 7,South Africa,Female,High School,Achimota School,1958-08-30,66
8,2024-08-28 01:51:29,user8@example.com,User 8,Uganda,Female,Bachelor,Wesley Girls High School,1993-05-31,31
9,2024-06-09 01:51:29,user9@example.com,User 9,Uganda,Male,High School,St. James Seminary,1978-02-23,46
10,2024-09-04 01:51:29,user10@example.com,User 10,South Africa,Female,High School,Wesley Girls High School,1971-11-07,52
11,2024-06-22 01:51:29,user11@example.com,User 11,South Africa,Female,High School,St. Augustine's College,1983-01-20,41
12,2023-12-06 01:51:29,user12@example.com,User 12,Ghana,Female,Master,Adisadel College,1984-12-31,39
13,2023-11-25 01:51:29,user13@example.com,User 13,Kenya,Female,PhD,Prempeh College,1989-07-23,35
14,2023-10-11 01:51:29,user14@example.com,User 14,Nigeria,Male,Bachelor,Wesley Girls High School,1974-10-26,49
15,2024-06-09 01:51:29,user15@example.com,User 15,Ghana,Female,High School,Adisadel College,1996-07-22,28
16,2024-04-16 01:51:29,user16@example.com,User 16,Tanzania,Female,Bachelor,Presec Legon,1998-03-02,26
17,2023-11-18 01:51:29,user17@example.com,User 17,Tanzania,Male,Bachelor,St. Augustine's College,1993-09-26,31
18,2023-12-09 01:51:29,user18@example.com,User 18,Uganda,Female,High School,Prempeh College,1959-02-05,65
19,2023-10-01 01:51:29,user19@example.com,User 19,Tanzania,Male,Master,Mfantsipim School,1987-08-13,37
20,2023-11-23 01:51:29,user20@example.com,User 20,Ghana,Male,PhD,Presec Legon,1979-05-09,45
21,2024-05-22 01:51:29,user21@example.com,User 21,Kenya,Female,Bachelor,Opoku Ware School,1955-07-09,69
22,2024-03-20 01:51:29,user22@example.com,User 22,Ethiopia,Female,Master,Adisadel College,1968-09-30,56
23,2024-07-28 01:51:29,user23@example.com,User 23,South Africa,Female,PhD,Prempeh College,1959-01-30,65
24,2024-04-25 01:51:29,user24@example.com,User 24,Ghana,Female,PhD,Mfantsipim School,1962-06-23,62
25,2024-01-05 01:51:29,user25@example.com,User 25,Ghana,Female,PhD,Opoku Ware School,2004-08-07,20
26,2024-03-20 01:51:29,user26@example.com,User 26,Uganda,Male,PhD,Opoku Ware School,1961-01-03,63
27,2024-04-05 01:51:29,user27@example.com,User 27,South Africa,Female,PhD,St. James Seminary,1960-06-06,64
28,2023-12-17 01:51:29,user28@example.com,User 28,Tanzania,Female,Bachelor,Presec Legon,1984-03-14,40
